URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://example.org/ValueSet/Anatomical-Terminology,0.1.0,draft,,,VS Anatomical Terminology,"Anatomical Terminology",,"SCT"
http://example.org/ValueSet/Severity-VS,0.1.0,draft,,,VS  Severity,"ValueSet expressing the severity or presence of something",,"SCT"
http://example.org/ValueSet/TR-AW-AW-Status-VS,0.1.0,draft,,,Status of Airway,"Codes to define if theres not a A problem",,"SCT"
http://example.org/ValueSet/TR-AW-Airway-Adjuncts-VS,0.1.0,draft,,,Airway Adjuncts Procedures,"Includes SNOMED CT codes for procedures related to airway adjuncts, such as oropharyngeal and nasopharyngeal airway insertion.",,"SCT"
http://example.org/ValueSet/TR-AW-Airway-Clearance-VS,0.1.0,draft,,,Codes for clearing airway,"Includes SNOMED CT codes related to airway clearance procedures and findings.",,"SCT"
http://example.org/ValueSet/TR-AW-Airway-Obstruction-Causes-Breathing-Sounds-VS,0.1.0,draft,,,Breathing Sounds,"Certain breathing sounds are an indication for aw obstruction.",,"SCT"
http://example.org/ValueSet/TR-AW-Airway-Obstruction-Causes-Fluid-VS,0.1.0,draft,,,Fluid in the airway codes,"Describes different ways of suffocating due to fluids in the upper AW",,"SCT"
http://example.org/ValueSet/TR-AW-Airway-Obstruction-Causes-Foreign-Body-VS,0.1.0,draft,,,Foreign Body Obstruction of AW,"Different foreign bodies that can cause an obstruction",,"SCT"
http://example.org/ValueSet/TR-AW-Airway-Obstruction-Causes-Structure-VS,0.1.0,draft,,,Obstruction caused due to change in Neck Structure,"Trauma to the neck or head can cause airway to close up.",,"SCT"
http://example.org/ValueSet/TR-AW-Airway-Obstruction-Causes-VS,0.1.0,draft,,,Softtissue AW Obstruction,"Obstruction of Airway due to Softtissue without head or neck trauma",,"SCT"
http://example.org/ValueSet/TR-AW-Airway-Opening-Maneuvers-VS,0.1.0,draft,,,Opening Maneuvers,"Different Ways of opening the patients mouth",,"SCT"
http://example.org/ValueSet/TR-AW-Cervical-Spine-Assessment-VS,0.1.0,draft,,,Cervical Spine Assessment Codes,"Includes SNOMED CT codes related to cervical spine injuries and assessments.",,"SCT"
http://example.org/ValueSet/TR-AW-Cervical-Spine-Intervention-VS,0.1.0,draft,,,Cervical Spine Intervention Codes,"Includes SNOMED CT codes related to cervical spine immobilization and stabilization procedures.",,"SCT"
http://example.org/ValueSet/TR-C-Skin-Assessment-VS,0.1.0,draft,,,Skin Assessment Values,"Includes LOINC codes related to the Skin assessment panel 72284-3.",,"LOINC"
http://example.org/ValueSet/TR-Circulation-Bleeding-Control-VS,0.1.0,draft,,,Different Codes for Bleeding Control,"Getting the patient to stop bleeding with these different methods.",,"SCT"
http://example.org/ValueSet/TR-Conditions-VS,0.1.0,draft,,,Conditons,"This value set should have the most important arbeitsdiagnonsen",,"SCT"
http://example.org/ValueSet/TR-D-Fast-VS,0.1.0,draft,,,VS for FAST Assessment,"ValueSet for  SNOMED CT concepts used for a FAST assessment.",,"SCT"
http://example.org/ValueSet/TR-GI-AW-Patency-VS,0.1.0,draft,,,General Impresion AW Patency,"Codes related to Blickdiagnose AW Patency",,"SCT"
http://example.org/ValueSet/TR-GI-Circulation-Impression-VS,0.1.0,draft,,,General Impression of Circulation,"Used to judge if patient coulsd be in potential shock",,"SCT"
http://example.org/ValueSet/TR-GI-Decision-Making-VS,0.1.0,draft,,,Decision Codes General Impression,"Roughly defines what options after General Impression",,"SCT"
http://example.org/ValueSet/TR-GI-Impression-Procedure-VS,0.1.0,draft,,,General Impression of Circulation Procedures,"Used to judge if patient coulsd be in potential shock",,"SCT"
http://example.org/ValueSet/TR-GI-Mental-Status-VS,0.1.0,draft,,,General Impression Mental Status,"This value has some first impressions of the mental state of the patient.",,"SCT"
